StudentID,LifeSatisfaction,StudyHours,AttendanceRate,FriendCount,SleepHours,ExerciseHours,MentalStress,InternetUse,PartTimeHours
S0817,6.8,1.2,74.0,8,7.0,4.5,6,0.9,5
S0818,5.6,30.1,78.0,6,7.1,2.3,5,1.5,17
S0819,7.2,19.8,88.0,3,7.4,8.9,7,3.7,5
S0820,7.8,12.6,95.0,12,6.2,5.0,5,3.1,4
S0821,4.9,18.2,83.0,4,5.4,2.7,7,6.8,10
S0822,5.5,23.7,79.0,5,6.0,2.5,5,4.4,23
S0823,5.1,21.0,82.0,2,5.5,0.5,7,6.0,5
S0824,6.1,25.0,91.0,1,7.2,4.2,4,2.2,2
S0825,5.6,22.4,90.0,3,7.0,4.3,8,4.6,13
S0826,6.6,14.8,93.0,7,6.8,0.6,5,5.1,10
S0827,5.9,19.4,91.0,5,5.6,2.1,5,4.9,3
S0828,6.9,23.8,81.0,3,4.4,1.2,4,4.5,1
S0829,5.0,18.3,88.0,8,5.2,2.2,7,3.9,6
S0830,4.8,19.6,85.0,10,5.0,2.6,6,9.0,9
S0831,5.8,3.9,82.0,5,5.9,6.1,5,4.6,4
S0832,4.5,6.4,74.0,6,6.3,4.0,8,4.6,29
S0833,6.4,21.3,85.0,2,7.3,1.2,4,3.2,5
S0834,5.4,8.4,82.0,5,6.9,1.6,7,4.1,4
S0835,3.8,23.4,100.0,2,5.4,2.5,8,5.0,12
S0836,8.5,9.7,69.0,3,8.0,0.2,2,2.1,18
S0837,4.2,19.7,100.0,4,3.5,2.2,7,7.0,5
S0838,5.5,17.6,86.0,9,5.6,1.9,6,4.2,18
S0839,6.0,7.9,80.0,5,5.8,4.0,6,6.5,10
S0840,6.8,11.6,83.0,9,6.2,3.7,6,2.0,10
S0841,7.1,11.0,75.0,3,5.4,1.4,3,5.7,4
S0842,6.3,10.2,87.0,1,8.1,4.4,6,1.6,8
S0843,4.4,19.2,88.0,7,4.5,2.9,6,5.1,6
S0844,6.7,17.7,84.0,5,7.3,1.9,2,6.1,9
S0845,4.5,4.9,74.0,3,4.4,1.9,5,8.1,11
S0846,6.3,9.8,87.0,6,6.9,2.6,3,1.4,0
S0847,3.7,17.0,70.0,4,4.7,3.1,5,5.9,20
S0848,7.2,19.8,83.0,5,6.0,0.9,3,6.9,5
S0849,7.5,24.2,90.0,9,6.4,5.4,5,2.4,9
S0850,9.4,19.8,78.0,14,6.2,1.9,2,1.6,12
S0851,7.0,9.4,88.0,3,6.1,2.6,4,2.4,2
S0852,7.8,12.5,99.0,9,4.0,5.3,4,4.6,21
S0853,5.5,8.9,81.0,4,6.0,2.4,5,2.5,3
S0854,6.4,18.9,71.0,3,6.0,9.6,7,1.7,14
S0855,3.6,19.4,76.0,9,6.6,1.4,10,5.7,14
S0856,7.6,10.9,76.0,9,5.5,5.7,2,4.7,1
S0857,5.6,13.2,97.0,8,5.9,3.0,7,3.4,10
S0858,5.6,29.0,84.0,7,5.6,3.0,5,4.6,4
S0859,5.9,18.2,87.0,1,7.2,8.6,5,0.8,13
S0860,6.9,4.7,79.0,6,7.1,1.0,5,3.0,5
S0861,6.0,13.7,86.0,6,5.4,1.2,5,4.4,3
S0862,6.5,11.5,80.0,8,6.0,2.4,5,4.7,10
S0863,4.8,11.1,75.0,7,6.6,1.2,7,2.2,16
S0864,4.3,4.0,99.0,3,6.4,0.4,8,5.0,5
S0865,5.8,13.2,86.0,6,7.1,0.3,6,0.5,8
S0866,5.9,7.1,76.0,8,7.0,2.6,5,3.0,1
S0867,6.1,18.3,91.0,4,6.5,1.7,6,2.4,4
S0868,6.0,11.5,88.0,7,5.6,0.9,6,6.5,13
S0869,3.9,7.0,72.0,14,4.3,4.4,9,8.4,19
S0870,5.9,10.8,81.0,4,5.5,0.7,3,4.7,1
S0871,10.0,29.9,92.0,7,7.8,2.1,2,0.5,7
S0872,6.7,3.7,74.0,8,6.5,2.4,5,0.9,15
S0873,6.2,8.7,81.0,8,4.6,2.2,6,5.5,18
S0874,4.7,13.4,80.0,6,6.0,1.1,5,7.4,22
S0875,4.6,8.9,81.0,7,5.1,4.6,6,3.2,12
S0876,7.5,10.4,75.0,7,8.2,2.7,1,4.7,7
S0877,5.8,7.6,81.0,5,6.7,0.6,4,1.6,15
S0878,6.0,8.6,78.0,4,6.3,0.5,4,1.4,26
S0879,6.9,19.9,75.0,3,5.3,2.4,2,5.9,2
S0880,6.0,16.5,98.0,6,5.0,3.0,4,7.0,6
S0881,4.9,9.0,68.0,3,5.6,2.4,5,4.7,15
S0882,5.8,17.1,80.0,4,6.5,5.6,6,4.4,3
S0883,9.2,12.8,73.0,6,7.1,1.0,3,4.2,20
S0884,8.2,15.5,88.0,8,8.1,1.6,2,3.3,0
S0885,7.5,13.5,91.0,5,6.9,1.1,6,3.4,5
S0886,2.9,8.6,64.0,2,5.0,4.2,9,6.4,9
S0887,6.2,18.3,76.0,3,6.0,5.7,5,4.8,5
S0888,6.1,8.3,78.0,2,5.6,2.1,5,4.5,30
S0889,8.1,14.3,82.0,10,8.5,1.7,3,4.4,9
S0890,7.2,22.3,94.0,6,6.1,3.7,5,2.2,6
S0891,5.7,27.4,82.0,8,5.5,3.9,8,3.1,14
S0892,8.7,17.0,72.0,3,7.7,3.0,1,4.5,4
S0893,5.7,10.9,80.0,3,6.4,2.9,7,3.0,9
S0894,8.1,18.1,80.0,6,7.2,2.0,1,1.3,0
S0895,2.3,1.1,78.0,2,4.1,0.5,8,5.2,11
S0896,4.4,9.5,85.0,2,6.1,3.1,7,4.5,8
S0897,5.9,15.4,74.0,8,7.0,4.5,4,2.5,5
S0898,5.2,12.6,78.0,10,5.9,0.2,6,3.6,18
S0899,2.7,8.9,69.0,5,5.4,2.0,8,5.3,17
S0900,7.4,5.7,88.0,9,6.0,2.4,3,4.0,10
S0901,4.4,16.9,67.0,4,5.7,2.1,7,5.1,8
S0902,5.9,17.1,73.0,6,5.8,1.1,6,4.4,16
S0903,5.6,0.0,84.0,2,6.3,2.0,5,5.1,11
S0904,2.4,16.3,70.0,4,5.8,0.2,8,4.6,19
S0905,7.7,27.1,91.0,4,5.8,4.7,2,4.9,0
S0906,6.6,11.1,84.0,9,5.5,4.2,5,5.6,3
S0907,5.5,20.0,78.0,2,5.7,1.2,3,5.8,7
S0908,5.4,4.6,70.0,2,5.0,2.7,5,7.0,30
S0909,3.9,4.7,79.0,4,5.2,2.5,6,7.0,5
S0910,7.5,17.2,90.0,1,6.4,2.3,2,3.6,5
S0911,5.6,10.7,86.0,8,7.0,5.3,6,0.5,8
S0912,6.8,17.0,88.0,3,4.6,1.5,6,3.8,11
S0913,6.5,13.9,77.0,3,5.7,0.7,4,6.2,8
S0914,5.0,10.7,81.0,2,6.0,0.5,5,4.2,1
S0915,4.0,16.7,84.0,2,7.6,0.4,7,2.9,7
S0916,6.5,10.5,87.0,4,6.6,1.2,6,1.1,11
S0917,5.7,12.8,81.0,4,6.0,1.1,8,3.0,22
S0918,6.9,12.7,71.0,3,5.7,2.1,3,4.7,2
S0919,7.7,8.3,77.0,3,6.2,4.4,3,5.2,7
S0920,6.3,21.6,91.0,5,7.3,1.2,7,3.1,9
S0921,7.8,17.0,76.0,7,6.3,0.7,2,1.5,7
S0922,2.3,9.1,78.0,2,5.4,0.2,7,6.2,25
S0923,9.4,20.6,80.0,10,8.0,9.0,5,0.6,4
S0924,5.2,12.6,95.0,10,5.4,1.8,6,7.4,11
S0925,5.4,8.9,83.0,1,4.5,3.2,4,4.3,19
S0926,5.9,18.0,86.0,10,4.0,1.2,7,3.3,9
S0927,5.2,22.5,94.0,6,6.8,3.6,8,2.4,14
S0928,4.6,4.4,74.0,6,4.9,11.1,8,4.2,17
S0929,5.3,10.9,74.0,8,7.5,0.3,6,2.3,25
S0930,8.5,13.5,97.0,5,6.5,2.4,3,4.8,0
S0931,6.1,18.9,71.0,4,7.3,1.6,7,3.0,13
S0932,7.0,19.0,86.0,3,6.2,8.3,5,5.1,9
S0933,4.4,10.4,68.0,4,7.4,3.0,8,2.4,13
S0934,8.1,14.1,90.0,3,7.3,1.3,2,1.7,4
S0935,7.0,15.1,79.0,3,6.7,12.2,6,1.5,7
S0936,6.2,22.7,90.0,6,5.7,0.5,4,6.5,2
S0937,6.2,17.1,100.0,3,5.8,1.8,5,4.2,12
S0938,5.0,11.3,88.0,4,6.4,1.7,7,3.9,14
S0939,4.6,13.1,93.0,3,3.5,5.6,7,7.1,8
S0940,5.0,28.4,84.0,7,6.8,2.6,8,2.4,27
S0941,5.4,10.7,86.0,1,5.8,3.2,6,5.3,5
S0942,4.1,10.2,78.0,4,5.0,2.8,6,4.7,15
S0943,5.5,10.7,90.0,11,6.9,2.5,6,4.7,3
S0944,6.0,7.5,73.0,9,4.4,3.3,3,5.6,6
S0945,5.4,17.4,89.0,7,4.3,1.5,7,5.2,24
S0946,7.2,11.0,82.0,4,5.9,5.1,4,7.3,3
S0947,7.7,15.3,85.0,6,6.0,4.4,4,3.0,5
S0948,6.7,11.3,79.0,9,6.4,2.5,6,1.5,12
S0949,6.7,9.5,85.0,10,5.7,3.1,4,4.8,12
S0950,6.9,7.2,98.0,6,6.5,1.1,4,2.5,7
S0951,8.0,5.9,83.0,4,6.7,5.0,1,5.9,13
S0952,8.3,3.3,78.0,2,6.6,3.9,3,3.6,3
S0953,6.2,12.6,79.0,5,6.1,1.0,3,6.0,8
S0954,5.5,10.1,70.0,6,6.1,1.9,4,7.7,7
S0955,4.4,11.3,82.0,3,6.5,1.2,6,4.4,7
S0956,7.6,21.0,88.0,6,5.9,3.5,5,3.9,9
S0957,4.9,28.8,90.0,4,5.3,0.1,5,3.4,12
S0958,6.6,11.3,75.0,3,5.2,4.9,5,4.5,3
S0959,6.9,11.3,78.0,14,6.3,2.9,7,2.7,14
S0960,5.9,14.0,100.0,5,5.7,5.7,7,5.5,13
S0961,4.1,13.4,76.0,6,5.1,0.1,6,6.1,7
S0962,7.6,17.9,85.0,5,7.3,3.4,5,2.2,5
S0963,4.5,17.4,81.0,9,5.2,0.5,7,8.4,5
S0964,5.7,11.0,85.0,6,5.1,2.3,5,3.4,7
S0965,5.3,19.0,79.0,1,5.7,1.2,5,4.5,13
S0966,4.1,17.4,83.0,6,5.5,2.6,6,4.6,17
S0967,7.9,4.0,84.0,14,6.6,1.9,4,2.6,4
S0968,5.1,14.7,76.0,1,4.3,0.1,3,7.4,17
S0969,7.1,10.6,67.0,5,6.7,2.6,3,0.2,1
S0970,7.3,9.5,100.0,11,4.8,2.7,5,3.1,2
S0971,6.1,9.1,77.0,7,6.2,1.0,6,1.3,4
S0972,5.1,15.1,92.0,11,5.1,0.3,6,4.2,6
S0973,4.9,11.1,72.0,1,6.2,1.0,4,6.1,21
S0974,7.2,21.1,82.0,20,6.0,3.9,6,5.6,7
S0975,7.7,22.0,91.0,10,7.6,4.4,5,1.6,3
S0976,6.7,12.9,78.0,5,6.5,2.0,4,3.5,17
S0977,1.6,9.1,80.0,1,5.0,2.5,10,3.3,23
S0978,6.4,6.7,79.0,2,7.2,0.9,4,3.4,2
S0979,7.8,10.2,79.0,4,6.0,0.5,4,1.4,2
S0980,6.8,14.8,90.0,3,6.1,6.5,6,4.7,8
S0981,6.2,11.0,88.0,3,7.5,9.2,8,0.2,7
S0982,4.5,18.9,81.0,1,4.9,2.2,5,8.1,12
S0983,4.8,6.9,86.0,6,5.3,5.6,8,4.1,5
S0984,7.0,3.9,95.0,7,6.3,0.5,3,3.1,3
S0985,6.4,14.0,63.0,12,5.8,2.7,5,2.6,13
S0986,6.3,18.9,100.0,5,5.5,5.8,5,6.5,2
S0987,5.0,15.2,79.0,4,5.8,0.1,5,3.3,12
S0988,7.3,16.7,85.0,8,5.9,1.6,5,6.2,12
S0989,7.6,8.7,85.0,10,6.0,2.5,5,2.2,2
S0990,5.0,21.7,93.0,5,4.5,4.1,5,3.6,2
S0991,8.1,16.6,78.0,5,6.6,0.7,3,3.0,11
S0992,4.9,13.7,89.0,10,5.7,0.8,6,4.4,7
S0993,4.8,23.7,76.0,8,6.5,1.5,6,5.6,8
S0994,6.2,8.7,59.0,3,8.2,1.9,6,1.6,16
S0995,4.1,13.7,88.0,9,5.6,1.0,8,6.1,16
S0996,5.0,8.9,75.0,6,5.8,1.2,6,2.7,17
S0997,5.4,13.5,87.0,4,4.2,4.8,6,4.5,9
S0998,6.9,16.7,84.0,7,7.8,0.6,8,1.1,6
S0999,5.1,12.0,79.0,3,5.6,2.3,5,3.3,3
S1000,8.1,9.1,73.0,2,7.4,1.4,2,3.1,1
